4271, drifter, 4, 78735.143323, 93823.943499, 91.435986, 0.012120, 0.004614, -0.005512, 0.041671, 102.585584
4271, drifter, 5, 78890.532823, 94636.293006, 91.851633, 0.013070, 0.004423, 0.002962, 0.041671, 105.000000
4881, drifter, 0, 78358.093449, 93968.661437, 94.999126, 0.015327, 0.002956, -0.003513, 0.041667, 102.666312
4881, drifter, 1, 78358.065959, 94552.170055, 50.674793, -0.014238, 0.005437, -0.121775, 0.041808, 104.160875
4881, drifter, 2, 78724.451778, 94197.303543, 91.652556, 0.013023, 0.004283, 0.000034, 0.041671, 104.605528
4881, drifter, 3, 78353.668373, 94259.366035, 72.091672, 0.003666, 0.007896, -0.167509, 0.041833, 104.095364
4881, drifter, 4, 78739.031227, 93827.425999, 52.294400, -0.014598, 0.006102, -0.105564, 0.041787, 102.604417
4881, drifter, 5, 78888.655116, 94639.725310, 31.951615, -0.026573, 0.003570, -0.086702, 0.041804, 105.000000
5491, drifter, 0, 78360.818569, 93971.411727, 39.768642, -0.021711, 0.003769, -0.120779, 0.041824, 102.686120
5491, drifter, 1, 78339.501795, 94550.389914, 16.147063, -0.036364, -0.012045, -0.041565, 0.041841, 104.111385
5491, drifter, 2, 78727.654079, 94200.542327, 40.937834, -0.020538, 0.004783, -0.146893, 0.041856, 104.623048
5491, drifter, 3, 78339.196055, 94258.086157, 9.640636, -0.028357, -0.022231, -0.001622, 0.041833, 104.050888
5491, drifter, 4, 78721.281370, 93828.485271, 23.036085, -0.036197, -0.002922, 0.005663, 0.041787, 102.610197
5491, drifter, 5, 78867.901755, 94634.707089, 8.845648, -0.025958, -0.023177, -0.004137, 0.041837, 105.000000
6101, drifter, 0, 78341.434135, 93964.911541, 10.343424, -0.030785, -0.020696, -0.066479, 0.041852, 102.610826
6101, drifter, 1, 78326.683720, 94535.948925, 2.283950, 0.005368, -0.026408, -0.014933, 0.041869, 104.077061
6101, drifter, 2, 78714.621051, 94190.513256, 5.199218, -0.010058, -0.028193, -0.031584, 0.041867, 104.568967
6101, drifter, 3, 78329.359727, 94242.394760, 2.573452, 0.001868, -0.027249, -0.029767, 0.041872, 103.947632
